,C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS,DATETIME,WEEKDAY,ENTRY_DIFFS,EXIT_DIFFS,TOTAL_TRAFFIC,DDATE,DWEEKDAY
0,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/16/2018,00:00:00,REGULAR,6658725,2257032,2018-06-16 00:00:00,5,,,,2018-06-15,4
1,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/16/2018,04:00:00,REGULAR,6658747,2257036,2018-06-16 04:00:00,5,22.0,4.0,26.0,2018-06-16,5
2,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/16/2018,08:00:00,REGULAR,6658766,2257068,2018-06-16 08:00:00,5,19.0,32.0,51.0,2018-06-16,5
3,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/16/2018,12:00:00,REGULAR,6658866,2257139,2018-06-16 12:00:00,5,100.0,71.0,171.0,2018-06-16,5
4,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/16/2018,16:00:00,REGULAR,6659043,2257188,2018-06-16 16:00:00,5,177.0,49.0,226.0,2018-06-16,5
5,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/16/2018,20:00:00,REGULAR,6659281,2257223,2018-06-16 20:00:00,5,238.0,35.0,273.0,2018-06-16,5
6,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2018,00:00:00,REGULAR,6659424,2257246,2018-06-17 00:00:00,6,143.0,23.0,166.0,2018-06-16,5
7,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2018,04:00:00,REGULAR,6659438,2257250,2018-06-17 04:00:00,6,14.0,4.0,18.0,2018-06-17,6
8,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2018,08:00:00,REGULAR,6659449,2257263,2018-06-17 08:00:00,6,11.0,13.0,24.0,2018-06-17,6
9,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2018,12:00:00,REGULAR,6659514,2257309,2018-06-17 12:00:00,6,65.0,46.0,111.0,2018-06-17,6
10,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2018,16:00:00,REGULAR,6659675,2257334,2018-06-17 16:00:00,6,161.0,25.0,186.0,2018-06-17,6
11,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2018,20:00:00,REGULAR,6659873,2257354,2018-06-17 20:00:00,6,198.0,20.0,218.0,2018-06-17,6
12,A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2018,00:00:00,REGULAR,6659973,2257373,2018-06-18 00:00:00,0,100.0,19.0,119.0,2018-06-17,6
